tensor(5535.1812, grad_fn=<MseLossBackward>)
tensor(1586.9445, grad_fn=<MseLossBackward>)
tensor(1252.5142, grad_fn=<MseLossBackward>)
tensor(4017.8882, grad_fn=<MseLossBackward>)
tensor(1397.9480, grad_fn=<MseLossBackward>)
tensor(549.6583, grad_fn=<MseLossBackward>)
tensor(431.0088, grad_fn=<MseLossBackward>)
tensor(3464.6702, grad_fn=<MseLossBackward>)
tensor(698.9819, grad_fn=<MseLossBackward>)
tensor(1545.7235, grad_fn=<MseLossBackward>)
tensor(18313.1836, grad_fn=<MseLossBackward>)
tensor(1817.6892, grad_fn=<MseLossBackward>)
tensor(1147.2174, grad_fn=<MseLossBackward>)
tensor(1908.1514, grad_fn=<MseLossBackward>)
tensor(4147.8604, grad_fn=<MseLossBackward>)
tensor(12459.2412, grad_fn=<MseLossBackward>)
tensor(1614.5143, grad_fn=<MseLossBackward>)
tensor(6864.5728, grad_fn=<MseLossBackward>)
tensor(2477.5303, grad_fn=<MseLossBackward>)
tensor(1980.8408, grad_fn=<MseLossBackward>)
tensor(3499.5977, grad_fn=<MseLossBackward>)
tensor(4223.6182, grad_fn=<MseLossBackward>)
tensor(1273.3026, grad_fn=<MseLossBackward>)
tensor(1544.1871, grad_fn=<MseLossBackward>)
tensor(440.8075, grad_fn=<MseLossBackward>)
tensor(885.9274, grad_fn=<MseLossBackward>)
tensor(347.3564, grad_fn=<MseLossBackward>)
tensor(1776.6301, grad_fn=<MseLossBackward>)
tensor(1864.6694, grad_fn=<MseLossBackward>)
tensor(1416.8403, grad_fn=<MseLossBackward>)
tensor(4460.8438, grad_fn=<MseLossBackward>)
tensor(1304.1711, grad_fn=<MseLossBackward>)
tensor(1305.5337, grad_fn=<MseLossBackward>)
tensor(602.2519, grad_fn=<MseLossBackward>)
tensor(1451.9963, grad_fn=<MseLossBackward>)
tensor(2879.4436, grad_fn=<MseLossBackward>)
tensor(367.1357, grad_fn=<MseLossBackward>)
tensor(962.1108, grad_fn=<MseLossBackward>)
tensor(1503.5717, grad_fn=<MseLossBackward>)
tensor(1974.5958, grad_fn=<MseLossBackward>)
tensor(329.1613, grad_fn=<MseLossBackward>)
tensor(794.4468, grad_fn=<MseLossBackward>)
tensor(2167.1118, grad_fn=<MseLossBackward>)
tensor(144.9864, grad_fn=<MseLossBackward>)
tensor(1571.5270, grad_fn=<MseLossBackward>)
tensor(1022979.0625, grad_fn=<MseLossBackward>)
tensor(1414.3918, grad_fn=<MseLossBackward>)
tensor(1147.0215, grad_fn=<MseLossBackward>)
tensor(106.4302, grad_fn=<MseLossBackward>)
tensor(448.1909, grad_fn=<MseLossBackward>)
tensor(960.3968, grad_fn=<MseLossBackward>)
tensor(183.8894, grad_fn=<MseLossBackward>)
tensor(336.2096, grad_fn=<MseLossBackward>)
tensor(1013.0463, grad_fn=<MseLossBackward>)
tensor(198.1447, grad_fn=<MseLossBackward>)
tensor(267.0503, grad_fn=<MseLossBackward>)
tensor(809.8824, grad_fn=<MseLossBackward>)
tensor(829.9257, grad_fn=<MseLossBackward>)
tensor(2088.1414, grad_fn=<MseLossBackward>)
tensor(516.9151, grad_fn=<MseLossBackward>)
tensor(917.3112, grad_fn=<MseLossBackward>)
tensor(56.0834, grad_fn=<MseLossBackward>)
tensor(686.7358, grad_fn=<MseLossBackward>)
tensor(685.4665, grad_fn=<MseLossBackward>)
tensor(572.4011, grad_fn=<MseLossBackward>)
tensor(773.3825, grad_fn=<MseLossBackward>)
tensor(657.3382, grad_fn=<MseLossBackward>)
tensor(662.8237, grad_fn=<MseLossBackward>)
